date,location,location_code,latitude,longitude,temperature_mean,temperature_max,temperature_min,precipitation_sum,relative_humidity_mean,wind_speed_max,surface_pressure_mean,source,collected_at
2020-01-23,Beijing,CHN,39.9042,116.4074,18.0,24.55,11.96,4.6,54.53,20.34,1003.36,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-24,Beijing,CHN,39.9042,116.4074,18.28,24.87,11.12,3.49,60.36,12.57,1007.57,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-25,Beijing,CHN,39.9042,116.4074,20.31,27.05,14.25,1.5,59.63,20.89,1007.35,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-26,Beijing,CHN,39.9042,116.4074,16.28,23.35,10.59,2.34,52.01,14.98,1005.4,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-27,Beijing,CHN,39.9042,116.4074,19.48,26.15,13.85,4.6,59.41,10.54,1008.85,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-28,Beijing,CHN,39.9042,116.4074,18.34,24.35,10.9,3.99,57.49,21.8,1001.97,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-29,Beijing,CHN,39.9042,116.4074,18.63,25.05,11.88,0,59.43,11.54,1008.44,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-30,Beijing,CHN,39.9042,116.4074,18.7,25.55,12.96,5.4,51.58,12.5,1005.05,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-01-31,Beijing,CHN,39.9042,116.4074,20.12,27.38,14.06,2.68,56.45,23.12,1011.25,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-01,Beijing,CHN,39.9042,116.4074,21.11,27.78,15.57,0,58.25,14.79,1009.79,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-02,Beijing,CHN,39.9042,116.4074,23.46,30.16,16.02,4.4,62.68,17.74,1010.36,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-03,Beijing,CHN,39.9042,116.4074,20.99,27.82,13.94,5.47,60.26,11.04,1010.43,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-04,Beijing,CHN,39.9042,116.4074,19.68,25.21,13.1,0,50.37,13.16,1007.3,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-05,Beijing,CHN,39.9042,116.4074,21.66,27.24,14.43,6.28,60.86,18.13,1007.81,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-06,Beijing,CHN,39.9042,116.4074,19.57,25.55,13.95,3.92,61.3,14.64,1009.08,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-07,Beijing,CHN,39.9042,116.4074,21.94,28.16,14.86,6.94,60.88,20.34,1003.41,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-08,Beijing,CHN,39.9042,116.4074,21.46,28.31,15.34,1.67,52.21,17.12,1009.22,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-09,Beijing,CHN,39.9042,116.4074,21.92,28.47,15.61,4.08,55.27,9.91,1012.74,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-10,Beijing,CHN,39.9042,116.4074,20.61,27.17,13.41,3.76,61.64,22.31,1012.04,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-11,Beijing,CHN,39.9042,116.4074,20.27,27.39,13.44,4.73,60.32,5.67,1004.87,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-12,Beijing,CHN,39.9042,116.4074,22.15,28.03,14.85,2.34,59.25,14.99,1006.46,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-13,Beijing,CHN,39.9042,116.4074,22.52,29.71,15.72,5.81,58.56,21.58,1006.18,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-14,Beijing,CHN,39.9042,116.4074,22.03,28.15,16.24,6.17,46.56,12.53,1006.68,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-15,Beijing,CHN,39.9042,116.4074,22.0,27.63,15.9,1.26,51.15,16.81,1001.08,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-16,Beijing,CHN,39.9042,116.4074,22.06,28.09,15.96,3.79,57.26,17.69,1007.42,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-17,Beijing,CHN,39.9042,116.4074,23.13,30.26,15.79,4.33,48.4,16.07,1009.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-18,Beijing,CHN,39.9042,116.4074,24.52,30.88,17.9,4.64,53.25,12.91,1005.85,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-19,Beijing,CHN,39.9042,116.4074,24.82,31.24,17.58,2.23,51.32,14.97,1008.64,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-20,Beijing,CHN,39.9042,116.4074,21.33,28.3,14.97,3.11,62.05,14.52,1003.19,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-21,Beijing,CHN,39.9042,116.4074,23.33,29.37,17.17,8.82,53.27,15.57,1010.56,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-22,Beijing,CHN,39.9042,116.4074,22.77,29.09,17.08,2.96,60.69,13.0,1004.26,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-23,Beijing,CHN,39.9042,116.4074,21.69,28.22,15.34,1.67,51.01,19.68,1002.52,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-24,Beijing,CHN,39.9042,116.4074,22.62,29.35,15.46,4.14,55.81,22.19,1009.5,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-25,Beijing,CHN,39.9042,116.4074,21.13,27.96,13.75,4.56,53.12,16.26,1002.55,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-26,Beijing,CHN,39.9042,116.4074,23.85,30.89,16.38,3.04,47.97,13.32,1004.99,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-27,Beijing,CHN,39.9042,116.4074,26.28,31.94,19.94,4.05,56.88,13.1,1002.65,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-28,Beijing,CHN,39.9042,116.4074,23.92,29.89,16.54,5.22,54.49,15.55,1003.38,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-02-29,Beijing,CHN,39.9042,116.4074,24.17,30.33,18.17,6.22,51.08,11.41,1007.25,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-01,Beijing,CHN,39.9042,116.4074,22.83,29.79,16.72,5.92,53.99,12.16,1004.39,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-02,Beijing,CHN,39.9042,116.4074,23.0,29.56,15.78,1.98,58.57,13.09,1003.97,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-03,Beijing,CHN,39.9042,116.4074,26.15,31.81,19.53,2.59,42.44,13.37,1005.3,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-04,Beijing,CHN,39.9042,116.4074,22.36,29.12,15.01,3.45,65.55,8.07,1005.75,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-05,Beijing,CHN,39.9042,116.4074,24.47,31.52,17.54,5.43,58.37,14.36,1008.24,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-06,Beijing,CHN,39.9042,116.4074,25.87,32.82,19.99,3.11,55.96,13.12,1003.8,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-07,Beijing,CHN,39.9042,116.4074,24.98,32.21,18.92,5.92,55.22,9.15,1001.97,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-08,Beijing,CHN,39.9042,116.4074,26.8,32.64,19.92,9.12,61.1,15.27,1005.34,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-09,Beijing,CHN,39.9042,116.4074,23.34,30.62,17.66,9.51,56.39,10.74,1005.68,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-10,Beijing,CHN,39.9042,116.4074,23.75,29.37,17.54,4.09,55.0,11.49,1006.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-11,Beijing,CHN,39.9042,116.4074,25.38,32.21,19.48,7.4,48.59,16.83,1007.69,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-12,Beijing,CHN,39.9042,116.4074,24.27,31.52,17.33,2.67,49.53,12.55,1009.48,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-13,Beijing,CHN,39.9042,116.4074,25.36,32.62,19.44,4.49,56.7,6.67,1003.6,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-14,Beijing,CHN,39.9042,116.4074,27.07,32.97,20.7,7.51,47.91,15.25,1005.44,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-15,Beijing,CHN,39.9042,116.4074,23.88,30.86,17.58,7.76,55.19,22.72,1005.23,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-16,Beijing,CHN,39.9042,116.4074,25.49,31.28,19.55,6.94,51.72,17.9,1006.67,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-17,Beijing,CHN,39.9042,116.4074,25.11,30.76,18.67,4.01,51.18,11.14,1007.05,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-18,Beijing,CHN,39.9042,116.4074,24.8,30.47,19.22,0.12,57.52,17.31,1004.49,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-19,Beijing,CHN,39.9042,116.4074,27.14,32.94,21.0,6.66,57.92,6.37,1003.97,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-20,Beijing,CHN,39.9042,116.4074,25.72,33.16,18.71,8.75,57.1,17.22,1006.91,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-21,Beijing,CHN,39.9042,116.4074,26.23,32.67,20.25,8.12,48.65,24.27,1007.05,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-22,Beijing,CHN,39.9042,116.4074,27.98,33.86,22.25,5.55,51.6,16.01,1008.72,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-23,Beijing,CHN,39.9042,116.4074,24.26,30.34,17.03,5.67,51.03,22.35,1001.64,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-24,Beijing,CHN,39.9042,116.4074,27.56,33.39,21.0,2.78,56.42,11.11,1011.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-25,Beijing,CHN,39.9042,116.4074,24.4,30.73,16.95,1.13,48.79,17.93,1008.54,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-26,Beijing,CHN,39.9042,116.4074,26.12,32.13,18.75,3.65,52.09,15.6,1009.7,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-27,Beijing,CHN,39.9042,116.4074,24.46,31.73,17.04,6.78,46.26,18.9,1005.41,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-28,Beijing,CHN,39.9042,116.4074,26.38,32.26,19.57,4.57,51.12,23.2,1004.33,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-29,Beijing,CHN,39.9042,116.4074,26.0,32.02,18.73,5.51,53.62,19.16,1004.75,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-30,Beijing,CHN,39.9042,116.4074,25.08,31.66,19.12,2.8,47.65,16.56,1012.35,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-03-31,Beijing,CHN,39.9042,116.4074,27.02,32.85,21.12,2.77,53.02,14.52,1005.49,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-01,Beijing,CHN,39.9042,116.4074,24.6,30.24,17.59,4.67,59.26,15.23,1006.92,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-02,Beijing,CHN,39.9042,116.4074,24.92,30.77,18.32,6.85,51.61,8.64,1009.99,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-03,Beijing,CHN,39.9042,116.4074,27.49,33.66,20.1,6.82,58.55,11.9,1003.56,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-04,Beijing,CHN,39.9042,116.4074,26.7,33.35,19.21,8.37,52.51,21.44,1010.59,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-05,Beijing,CHN,39.9042,116.4074,27.58,33.99,21.88,5.03,53.22,18.18,1005.91,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-06,Beijing,CHN,39.9042,116.4074,27.38,33.93,21.58,7.28,62.49,14.13,1007.05,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-07,Beijing,CHN,39.9042,116.4074,25.66,32.04,19.91,1.61,42.6,11.89,1009.66,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-08,Beijing,CHN,39.9042,116.4074,26.57,32.67,20.18,7.25,43.07,14.76,1000.12,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-09,Beijing,CHN,39.9042,116.4074,24.76,30.67,17.28,1.85,57.97,20.05,1009.06,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-10,Beijing,CHN,39.9042,116.4074,26.52,32.28,20.35,4.28,52.0,12.68,1007.48,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-11,Beijing,CHN,39.9042,116.4074,25.44,31.47,18.21,3.49,41.64,12.21,1006.11,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-12,Beijing,CHN,39.9042,116.4074,24.96,30.71,17.49,5.8,59.89,12.99,1009.38,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-13,Beijing,CHN,39.9042,116.4074,24.18,30.8,17.0,2.62,45.96,17.47,1003.38,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-14,Beijing,CHN,39.9042,116.4074,27.33,34.06,21.13,7.43,45.25,14.46,1008.59,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-15,Beijing,CHN,39.9042,116.4074,25.32,32.61,19.09,4.87,51.46,12.09,1006.33,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-16,Beijing,CHN,39.9042,116.4074,24.42,30.91,18.14,4.73,49.94,7.9,1008.44,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-17,Beijing,CHN,39.9042,116.4074,25.33,31.06,19.03,4.74,47.54,5.13,1004.42,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-18,Beijing,CHN,39.9042,116.4074,22.81,30.09,15.79,6.21,51.38,17.7,1006.72,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-19,Beijing,CHN,39.9042,116.4074,24.09,31.18,16.87,6.51,46.3,17.21,1005.08,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-20,Beijing,CHN,39.9042,116.4074,25.9,32.5,18.43,0,54.41,19.42,1012.6,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-21,Beijing,CHN,39.9042,116.4074,24.43,30.93,18.04,5.17,58.1,17.03,1006.05,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-22,Beijing,CHN,39.9042,116.4074,25.72,31.44,18.32,3.77,53.55,13.63,1004.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-23,Beijing,CHN,39.9042,116.4074,24.96,30.66,19.01,3.66,49.32,16.7,1003.65,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-24,Beijing,CHN,39.9042,116.4074,25.19,31.84,19.22,5.01,51.29,12.89,1003.09,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-25,Beijing,CHN,39.9042,116.4074,23.44,29.86,17.11,4.51,49.06,13.14,1006.03,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-26,Beijing,CHN,39.9042,116.4074,24.11,30.14,18.39,3.67,44.58,14.71,1007.83,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-27,Beijing,CHN,39.9042,116.4074,24.51,31.93,18.77,7.56,55.11,13.9,1002.23,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-28,Beijing,CHN,39.9042,116.4074,23.21,30.22,16.8,2.04,48.59,6.26,1013.22,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-29,Beijing,CHN,39.9042,116.4074,25.4,32.47,19.88,4.91,57.79,15.35,1001.51,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-04-30,Beijing,CHN,39.9042,116.4074,26.12,32.49,19.85,2.03,54.33,14.74,1011.65,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-01,Beijing,CHN,39.9042,116.4074,22.63,28.23,16.4,6.17,53.12,18.7,1007.57,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-02,Beijing,CHN,39.9042,116.4074,22.3,29.55,16.35,1.63,55.4,14.71,1008.28,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-03,Beijing,CHN,39.9042,116.4074,23.5,30.45,17.93,7.03,60.46,24.15,1006.76,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-04,Beijing,CHN,39.9042,116.4074,23.63,30.71,17.75,6.08,45.17,12.87,1003.7,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-05,Beijing,CHN,39.9042,116.4074,24.01,30.94,18.38,9.64,52.37,10.68,1005.88,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-06,Beijing,CHN,39.9042,116.4074,21.87,27.63,15.99,4.62,54.71,16.13,1007.04,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-07,Beijing,CHN,39.9042,116.4074,23.13,29.22,15.86,3.51,51.37,19.88,1011.35,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-08,Beijing,CHN,39.9042,116.4074,21.31,27.92,15.42,4.71,64.03,15.56,1005.64,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-09,Beijing,CHN,39.9042,116.4074,24.19,30.81,17.12,2.93,45.41,18.56,1007.76,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-10,Beijing,CHN,39.9042,116.4074,23.35,29.22,17.49,5.69,57.71,18.08,1005.09,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-11,Beijing,CHN,39.9042,116.4074,23.23,30.33,17.63,3.53,52.52,23.15,1006.56,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-12,Beijing,CHN,39.9042,116.4074,22.89,29.18,15.81,4.03,58.33,15.21,1006.0,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-13,Beijing,CHN,39.9042,116.4074,22.51,28.96,16.44,5.98,53.11,14.19,1004.02,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-14,Beijing,CHN,39.9042,116.4074,22.77,28.68,16.19,7.72,53.75,18.78,1008.51,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-15,Beijing,CHN,39.9042,116.4074,22.5,29.04,16.18,5.06,64.13,19.91,1008.77,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-16,Beijing,CHN,39.9042,116.4074,22.37,28.73,15.62,2.73,59.43,10.32,1010.01,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-17,Beijing,CHN,39.9042,116.4074,22.95,29.25,15.73,3.83,51.24,13.55,1004.75,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-18,Beijing,CHN,39.9042,116.4074,21.85,27.64,15.03,0.98,54.03,17.29,1006.28,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-19,Beijing,CHN,39.9042,116.4074,22.76,29.1,15.96,2.57,52.32,17.45,1007.85,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-20,Beijing,CHN,39.9042,116.4074,21.66,28.97,14.27,9.85,55.12,18.54,1004.98,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-21,Beijing,CHN,39.9042,116.4074,21.93,29.07,15.32,3.31,52.92,16.02,1004.34,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-22,Beijing,CHN,39.9042,116.4074,22.6,29.08,15.55,1.3,47.31,11.89,1002.6,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-23,Beijing,CHN,39.9042,116.4074,20.88,28.09,13.9,1.72,61.93,17.09,1003.11,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-24,Beijing,CHN,39.9042,116.4074,21.2,28.59,13.99,6.82,64.31,13.64,1003.58,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-25,Beijing,CHN,39.9042,116.4074,18.45,24.88,11.56,1.09,53.54,14.64,1013.02,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-26,Beijing,CHN,39.9042,116.4074,19.21,26.12,12.66,3.59,55.27,17.61,1006.04,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-27,Beijing,CHN,39.9042,116.4074,22.41,29.26,16.88,0,60.32,18.98,1006.07,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-28,Beijing,CHN,39.9042,116.4074,21.98,27.63,15.38,2.78,52.71,27.31,1006.85,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-29,Beijing,CHN,39.9042,116.4074,20.85,27.87,13.97,3.98,61.5,19.21,1008.4,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-30,Beijing,CHN,39.9042,116.4074,19.93,26.41,12.89,3.18,56.98,10.51,1006.42,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-05-31,Beijing,CHN,39.9042,116.4074,19.22,25.12,13.28,2.34,57.2,16.77,1005.16,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-01,Beijing,CHN,39.9042,116.4074,20.77,28.06,13.34,1.36,58.35,15.9,1001.76,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-02,Beijing,CHN,39.9042,116.4074,19.43,25.31,13.44,5.09,61.12,14.99,1007.77,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-03,Beijing,CHN,39.9042,116.4074,19.03,26.04,11.6,5.15,56.84,25.42,1005.72,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-04,Beijing,CHN,39.9042,116.4074,17.77,23.36,10.49,5.39,55.0,17.18,1004.74,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-05,Beijing,CHN,39.9042,116.4074,18.03,25.26,10.95,5.37,57.42,20.39,1008.11,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-06,Beijing,CHN,39.9042,116.4074,17.91,24.88,10.61,2.27,56.99,12.05,1004.8,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-07,Beijing,CHN,39.9042,116.4074,19.11,24.85,11.98,5.22,62.07,12.32,1009.55,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-08,Beijing,CHN,39.9042,116.4074,16.71,23.01,9.56,4.62,61.31,15.14,1006.85,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-09,Beijing,CHN,39.9042,116.4074,17.25,23.58,10.07,5.01,63.03,15.42,1005.36,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-10,Beijing,CHN,39.9042,116.4074,19.6,25.38,13.86,5.65,56.1,15.81,1011.63,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-11,Beijing,CHN,39.9042,116.4074,19.2,25.49,13.4,2.25,58.05,18.0,1016.94,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-12,Beijing,CHN,39.9042,116.4074,15.67,22.22,8.38,3.14,68.57,16.65,1005.02,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-13,Beijing,CHN,39.9042,116.4074,16.28,23.67,9.39,5.1,65.42,16.56,1003.81,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-14,Beijing,CHN,39.9042,116.4074,17.08,24.33,10.28,0.27,61.09,13.41,1009.02,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-15,Beijing,CHN,39.9042,116.4074,15.85,22.99,9.88,2.63,54.38,19.3,1003.19,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-16,Beijing,CHN,39.9042,116.4074,15.59,22.55,9.7,1.55,62.62,11.65,1010.54,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-17,Beijing,CHN,39.9042,116.4074,16.34,23.22,9.66,0,57.06,17.24,1005.81,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-18,Beijing,CHN,39.9042,116.4074,15.29,20.83,9.53,8.29,64.34,12.4,1008.73,demo_generator,2026-07-10T04:13:34.892091+00:00
2020-06-19,Beijing,CHN,39.9042,116.4074,15.17,22.22,7.92,4.25,55.21,14.43,1007.43,demo_generator,2026-07-10T04:13:34.892091+00:00
